centro formativo, referir, disposición
mesa electoral, efectuar, día laborable
mesa electoral, requerir, día laborable
mesa electoral, efectuar, día laborable
mesa electoral, requerir, día laborable
procedente, quedar, empresario
procedente, quedar, incumplimiento
procedente, contrato, trabajo
protección, resultar, aplicación
autoridad laboral, suponer, formación profesional
autoridad laboral, suponer, formación
autoridad laboral, suponer, peligro
autoridad laboral, comunicar, prestación
autoridad laboral, impugnar, periodo de consultas
autoridad laboral, impugnar, periodo
autoridad laboral, constatar, fuerza
autoridad laboral, requerir, mesa electoral
autoridad laboral, estimar, legalidad
autoridad laboral, estimar, convenio
autoridad laboral, dirigir, jurisdicción
autoridad laboral, entender, convenio colectivo
autoridad laboral, dirigir, convenio colectivo
autoridad laboral, dirigir, jurisdicción social
autoridad laboral, entender, convenio
autoridad laboral, dirigir, convenio
sanción, requerir, trabajador
cargo, reducir, cantidad
cargo, percibir, indemnización
cargo, percibir, salario
cargo, percibir, importe
cargo, imposibilitar, trabajo
despido colectivo, producir, procedimiento
autoridad, suponer, formación profesional
autoridad, suponer, formación
autoridad, suponer, peligro
autoridad, comunicar, prestación
autoridad, impugnar, periodo de consultas
autoridad, impugnar, periodo
autoridad, constatar, fuerza
autoridad, requerir, mesa electoral
autoridad, estimar, legalidad
autoridad, estimar, convenio
autoridad, dirigir, jurisdicción
autoridad, entender, convenio colectivo
autoridad, dirigir, convenio colectivo
autoridad, dirigir, jurisdicción social
autoridad, entender, convenio
autoridad, dirigir, convenio
movilidad funcional, efectuar, acuerdo
seguridad, resultar, aplicación
trabajo efectivo, establecer, convenio colectivo
trabajo efectivo, establecer, colectivo
trabajo efectivo, establecer, convenio
trabajo efectivo, incluir, formación
trabajo efectivo, establecer, convenio colectivo
trabajo efectivo, establecer, colectivo
trabajo efectivo, establecer, convenio
trabajo efectivo, abonar, salario
trabajo efectivo, abonar, trabajador
amparo, establecer, disposición
contenido, contrato, legalidad
contenido, contrato, trabajo
prestación de servicios, incluir, empresario
subcontratación, referir, empresa
prórroga, expresar, trabajador
conformidad, establecer, convenio colectivo
conformidad, establecer, colectivo
conformidad, establecer, convenio
conformidad, establecer, acuerdo
conformidad, establecer, ley
vacaciones, fijar, empresa
cuantía, superar, salario mínimo interprofesional
cuantía, superar, salario
cuantía, superar, salario mínimo interprofesional
cuantía, superar, salario mínimo
cuantía, superar, salario mínimo
cuantía, superar, salario mínimo interprofesional
cuantía, resultar, salario mínimo interprofesional
cuantía, resultar, salario mínimo interprofesional
cuantía, resultar, salario mínimo
cuantía, resultar, salario mínimo
cuantía, resultar, salario mínimo interprofesional
cuantía, solicitar, obligación
cuantía, fijar, hora ordinaria
revisión, afectar, cuantía
defecto, entrar, empresa
defecto, entrar, empresa
defecto, contrato, salario
defecto, entrar, trabajador
defecto, entrar, empresa
defecto, entrar, empresa
defecto, entrar, jornada
defecto, entrar, jornada
defecto, entrar, duración
defecto, entrar, jornada ordinaria
defecto, entrar, empresa
defecto, corresponder, aplicación
defecto, entrar, empresa
defecto, mantener, vigencia
defecto, mantener, vigencia
reducción de jornada, acordar, trabajador
reducción de jornada, constituir, derecho
servicio, contar, dirección
servicio, contar, organización
servicio, contar, ámbito
servicio, continuar, prestación
servicio, contrato, prestación
servicio, contrato, denuncia
servicio, verificar, cumplimiento
servicio, formar, sector público
inobservancia, requerir, empresario
edad, concertir, discapacidad
edad, contrato, discapacidad
edad, establecer, texto refundido
edad, corresponder, texto refundido
edad, corresponder, texto refundido
edad, continuar, contrato
edad, continuar, contrato de relevo
edad, continuar, empresa
edad, corresponder, refundido
edad, corresponder, texto refundido
edad, existir, obligación
personal de alta dirección, gozar, salario
personal de alta dirección, gozar, garantías del salario
empresa, disponer, personal
empresa, contrato, duración
empresa, celebrar, duración
empresa, contrato, duración
empresa, sustituir, jornada
empresa, sustituir, jornada
empresa, informar, duración
empresa, facilitar, trabajador
empresa, suponer, acción
empresa, establecer, sistema de clasificación profesional
empresa, obtener, créditos
empresa, garantizar, ausencia
empresa, ajustar, ausencia
empresa, garantizar, ausencia
empresa, ajustar, ausencia
empresa, garantizar, ausencia
empresa, ajustar, ausencia
empresa, comunicar, aceptación
empresa, comunicar, aceptación
empresa, resolver, jurisdicción
empresa, resolver, jurisdicción social
empresa, garantizar, jornada
empresa, garantizar, jornada
empresa, incluir, horario
empresa, garantizar, horario
empresa, incluir, horario
empresa, garantizar, horario
empresa, referir, precepto
empresa, conservar, precepto
empresa, organizar, trabajo
empresa, afectar, excedencia
empresa, afectar, excedencia
empresa, ejercer, dirección
empresa, ejercer, derecho
empresa, referir, incapacidad
empresa, efectuar, acuerdo
empresa, comunicar, periodo de consultas
empresa, comunicar, periodo
empresa, acordar, trabajo
empresa, acordar, condiciones de trabajo
empresa, comunicar, periodo de consultas
empresa, comunicar, periodo
empresa, concertir, contrato
empresa, concertir, prestación
empresa, contrato, prestación
empresa, limitar, disposición
empresa, facilitar, información
empresa, tomar, información
empresa, ejercer, ámbito
empresa, iniciar, despido
empresa, iniciar, despido colectivo
empresa, iniciar, procedimiento
empresa, iniciar, colectivo
empresa, iniciar, despido
empresa, informar, empresario
empresa, consultar, empresario
empresa, establecer, aplicación
empresa, proceder, derecho
empresa, recibir, notificación
empresa, afectar, empleo
empresa, implicar, empleo
empresa, formular, empresario
empresa, utilizar, ámbito
empresa, cubrir, trabajador
empresa, celebrar, término
empresa, solicitar, empresario
empresa, concurrir, elección
empresa, impugnar, elección
empresa, compartir, centro de trabajo
empresa, negociar, convenio colectivo
empresa, negociar, convenio
empresa, negociar, negociación colectiva
empresa, formalizar, negociación colectiva
empresa, deber, negociación colectiva
empresa, entrar, delegados de personal
empresa, entrar, personal
usos y costumbres, aplicar, defecto
duración, contrato, exceder
duración, contrato, aprendizaje
duración, contrato, trabajador
duración, contrato, formación
duración, contrato, aprendizaje
duración, celebrar, jubilación parcial
duración, contrato, jubilación parcial
duración, celebrar, jubilación
duración, contrato, jubilación
duración, sumar, trabajador
duración, faltar, trabajador
duración, celebrar, empresa
duración, contrato, empresa
duración, adquirir, condición
duración, contrato, jornada
duración, contrato, jornada
duración, contrato, cómputo anual
duración, afectar, trabajo
duración, afectar, centro de trabajo
duración, establecer, negociación colectiva
duración, constituir, derecho
duración, exceder, ausencia
duración, exceder, ausencia
duración, exceder, ausencia
duración, contrato, servicio
duración, contrato, servicio
duración, contrato, aplicación
duración, contrato, servicio
duración, entender, perjuicio
duración, contrato, perjuicio
procedimiento, comprobar, centro de trabajo
procedimiento, comprobar, empresa
procedimiento, solicitar, empresa
procedimiento, afectar, trabajo
procedimiento, corresponder, comité de empresa
procedimiento, afectar, comité de empresa
procedimiento, afectar, centro de trabajo
procedimiento, corresponder, empresa
procedimiento, afectar, empresa
procedimiento, corresponder, comité
procedimiento, afectar, comité
procedimiento, afectar, trabajo
procedimiento, afectar, centro de trabajo
procedimiento, contar, comisión
procedimiento, contar, comisión
procedimiento, contar, comisión
procedimiento, contar, comisión
procedimiento, iniciar, empresa
procedimiento, iniciar, oficina pública
procedimiento, dirigir, oficina pública
procedimiento, establecer, ámbito
procedimiento, establecer, ámbito estatal
procedimiento, promover, negociación colectiva
procedimiento, hallar, negociación colectiva
comité, informar, empresario
comité, consultar, empresario
comité, proceder, derecho
comité, utilizar, ámbito
comité, solicitar, empresario
comité, elegir, aplicación
comité, entrar, delegados de personal
comité, entrar, personal
derecho, resolver, aplicación
derecho, reconocer, derecho necesario
derecho, percibir, grupo profesional 
derecho, resultar, aplicación
derecho, entender, trabajador
derecho, cumplir, trabajador
derecho, referir, formación
derecho, referir, deber
derecho, acceder, representación legal
derecho, percibir, anticipos
derecho, llegar, anticipos
derecho, señalar, anticipos
derecho, convenir, perjuicio
derecho, exigir, créditos
derecho, solicitar, jornada
derecho, solicitar, jornada
derecho, solicitar, jornada de trabajo
derecho, solicitar, duración
derecho, solicitar, jornada de trabajo
derecho, solicitar, jornada
derecho, solicitar, jornada
derecho, solicitar, contractual
derecho, existir, empresa
derecho, reducir, jornada
derecho, reducir, jornada
derecho, reducir, jornada de trabajo
derecho, reducir, trabajo
derecho, reducir, jornada de trabajo
derecho, optar, compensación
derecho, percibir, compensación
derecho, entrar, compensación
derecho, reincorporar, trabajo
derecho, reincorporar, origen
derecho, reincorporar, centro de trabajo
derecho, percibir, indemnización
derecho, contrato, indemnización
derecho, percibir, salario
derecho, contrato, salario
derecho, adquirir, elección
derecho, adquirir, condición
derecho, adquirir, empresa
derecho, reconocer, excedencia
derecho, reconocer, excedencia
derecho, ejercitar, trabajador
derecho, recibir, indemnización
derecho, recibir, cuantía
derecho, reconocer, ley
derecho, reconocer, ley
derecho, informar, empresario
derecho, consultar, empresario
derecho, recibir, aplicación
derecho, recibir, información
derecho, recibir, notificación
derecho, informar, empleo
derecho, consultar, empleo
derecho, informar, empresa
derecho, consultar, empresa
derecho, informar, adopción
derecho, consultar, adopción
derecho, emitir, empresario
derecho, contener, datos
derecho, acceder, datos
derecho, incluir, trabajo
derecho, incluir, centro de trabajo
derecho, formar, comisión
derecho, formar, comisión negociadora
derecho, formar, comisión
derecho, suspender, acuerdo
perjuicio, señalar, contrato
perjuicio, contrato, tiempo parcial
perjuicio, señalar, tiempo parcial
perjuicio, señalar, contrato a tiempo parcial
perjuicio, contrato, tiempo parcial
perjuicio, obtener, formación
perjuicio, obtener, créditos
perjuicio, recurrir, trabajador
perjuicio, establecer, legislación
perjuicio, establecer, autoridad laboral
perjuicio, establecer, autoridad
perjuicio, establecer, autoridad laboral
perjuicio, establecer, autoridad
perjuicio, atribuir, jurisdicción
perjuicio, atribuir, jurisdicción social
perjuicio, establecer, contrato
perjuicio, corresponder, jurisdicción
perjuicio, corresponder, autoridad laboral
perjuicio, corresponder, autoridad
término, contrato, trabajador
término, continuar, empresa
término, contrato, empresa
término, computar, periodo
término, remitir, mesa electoral
intimidad, comprender, protección
intimidad, contar, representante
intimidad, contar, representante legal
jubilación, establecer, refundido
jubilación, corresponder, refundido
jubilación, establecer, texto refundido
jubilación, corresponder, texto refundido
jubilación, corresponder, refundido
jubilación, corresponder, texto refundido
mutuo acuerdo, entrar, trabajador
mutuo acuerdo, entrar, empresario
suspensión del contrato, contrato, trabajo
suspensión del contrato, contrato, menor
suspensión del contrato, contrato, trabajo
suspensión del contrato, referir, duración
suspensión del contrato, contrato, duración
suspensión del contrato, contrato, adopción
suspensión del contrato, contrato, trabajo
suspensión del contrato, contrato, adopción
suspensión del contrato, contrato, adopción
suspensión del contrato, contrato, trabajo
suspensión del contrato, contrato, adopción
suspensión del contrato, contrato, trabajo
suspensión del contrato, incluir, permiso
suspensión del contrato, contrato, permiso
suspensión del contrato, incluir, permiso
suspensión del contrato, contrato, permiso
suspensión del contrato, incluir, permiso
suspensión del contrato, contrato, permiso
obligación, contrato, trabajador
obligación, contrato, deber
obligación, deber, empresario
obligación, contrato, empresario
obligación, reducir, cantidad
obligación, abonar, convenio
obligación, requerir, empresa
obligación, abonar, periodo
obligación, proceder, trabajo
derecho necesario, resolver, aplicación
anticipos, contar, trabajo
prorrogar, mediar, denuncia
deberes laborales, guardar, adopción
deberes laborales, guardar, aplicación
reunión, extender, votación
sistema educativo, concertar, contrato
modificación colectiva, notificar, empresario
requisito, formar, comisión
requisito, formar, comisión negociadora
requisito, formar, comisión
cualificación profesional, referir, perjuicio
aplicación del convenio, intervenir, comisión
aplicación del convenio, intervenir, comisión
periodo correspondiente, producir, jubilación
periodo correspondiente, producir, trabajador
periodo correspondiente, producir, jubilación
jornada ordinaria, acordar, convenio colectivo
jornada ordinaria, acordar, convenio
sexo, incluir, condición social
sexo, incluir, condición
sexo, incluir, religión
sexo, incluir, estado civil
sexo, favorecer, grupo profesional 
computar, compensar, descanso
negociación colectiva, establecer, acción
negociación colectiva, establecer, acción positiva
negociación colectiva, entrar, empresa
negociación colectiva, llegar, empresa
negociación colectiva, negociar, igualdad
negociación colectiva, deber, igualdad
acción protectora, contratar, formación
legitimación, establecer, ley
legitimación, negociar, revisión
legitimación, negociar, representación de los trabajadores
legitimación, formar, comisión
legitimación, formar, comisión negociadora
legitimación, formar, comisión
legitimación, ostentar, conformidad
legitimación, acordar, convenio colectivo
legitimación, permitir, convenio colectivo
legitimación, acordar, ámbito
legitimación, permitir, ámbito
legitimación, acordar, conflicto
legitimación, permitir, conflicto
legislación, requerir, empresario
modificación sustancial, percibir, indemnización
modificación sustancial, contrato, indemnización
competencia, referir, perjuicio
competencia, contrato, aprendizaje
competencia, contrato, formación
competencia, contrato, aprendizaje
competencia, extinguir, trabajo
competencia, contrato, trabajo
competencia, extinguir, contrato
competencia, extinguir, contrato de trabajo
comunidad, establecer, fiestas
comunidad, reunir, disposición
comunidad, señalar, disposición
conflicto, paralizar, tramitación
conflicto, paralizar, tramitación
conflicto, paralizar, tramitación
dignidad, comprender, origen
dignidad, comprender, acoso
dignidad, comprender, protección
dignidad, comprender, origen racial
dignidad, contar, representante
dignidad, contar, representante legal
horario, venir, legislación
operación, asumir, riesgo
operación, asumir, ventura
exigencia, celebrar, jornada
exigencia, presumir, jornada
exigencia, contrato, jornada
exigencia, celebrar, jornada
exigencia, presumir, jornada
exigencia, contrato, jornada
exigencia, celebrar, jornada completa
exigencia, presumir, jornada completa
exigencia, contrato, jornada completa
colectivo, contrato, función
colectivo, constar, jornada
colectivo, constar, jornada
colectivo, constar, jornada laboral
colectivo, constar, jornada laboral
colectivo, fijar, mutuo acuerdo
colectivo, fijar, acuerdo
colectivo, entrar, empresa
colectivo, entrar, empresa
colectivo, entrar, empresario
colectivo, entrar, empresa
colectivo, entrar, empresa
colectivo, establecer, reducción de jornada
colectivo, finalizar, permiso
colectivo, iniciar, permiso
colectivo, precisar, permiso
colectivo, finalizar, permiso
colectivo, iniciar, permiso
colectivo, precisar, permiso
colectivo, finalizar, permiso
colectivo, iniciar, permiso
colectivo, precisar, permiso
colectivo, alcanzar, periodo de consultas
colectivo, alcanzar, periodo
colectivo, paralizar, tramitación
colectivo, producir, procedimiento
colectivo, alcanzar, periodo de consultas
colectivo, alcanzar, periodo
colectivo, reunir, legitimación
colectivo, mantener, vigencia
colectivo, mantener, vigencia
colectivo, establecer, modificación
colectivo, establecer, régimen
colectivo, establecer, salarial
colectivo, establecer, modificación
salario mínimo, afectar, cuantía
suspensión, existir, empresario
suspensión, existir, cargo
suspensión, contrato, trabajo
suspensión, contrato, trabajo
suspensión, iniciar, autoridad laboral
suspensión, iniciar, autoridad
suspensión, producir, procedimiento
suspensión, contrato, menor
suspensión, contrato, trabajo
suspensión, ejercitar, jornada
suspensión, ejercitar, jornada
suspensión, ejercitar, jornada completa
suspensión, ejercitar, régimen
suspensión, referir, duración
suspensión, contrato, duración
suspensión, contrato, adopción
suspensión, contrato, trabajo
suspensión, contrato, adopción
suspensión, contrato, adopción
suspensión, contrato, trabajo
suspensión, contrato, adopción
suspensión, contrato, trabajo
suspensión, incluir, permiso
suspensión, contrato, permiso
suspensión, incluir, permiso
suspensión, contrato, permiso
suspensión, incluir, permiso
suspensión, contrato, permiso
comisión negociadora, existir, trabajo
comisión negociadora, existir, trabajo
comisión negociadora, existir, trabajo
comisión negociadora, existir, trabajo
comisión negociadora, efectuar, derecho
fiestas, fijar, convenio colectivo
fiestas, fijar, colectivo
fiestas, fijar, convenio
fiestas, sustituir, ámbito
interrupción, disponer, convenio colectivo
interrupción, disponer, convenio
personal, reclamar, jurisdicción
personal, reclamar, jurisdicción social
personal, contrato, trabajo
personal, ejercer, empresario
personal, ejercer, empresa
personal, observar, sigilo profesional
personal, obtener, votación
personal, cubrir, votación
personal, cubrir, trabajador
personal, pactar, convenio colectivo
personal, pactar, colectivo
personal, pactar, convenio
personal, remitir, mesa electoral
personal, referir, convenio
personal, gozar, salario
personal, gozar, garantías del salario
personal, adquirir, condición
personal, adquirir, acuerdo
grado, reconocer, acuerdo
grado, ostentar, dirección
permiso, fijar, trabajador
permiso, entrar, trabajador
permiso, fijar, empresario
permiso, entrar, empresario
permiso, fijar, mutuo acuerdo
permiso, fijar, acuerdo
permiso, incrementar, adopción
periodo, finalizar, periodo correspondiente
periodo, finalizar, periodo correspondiente
periodo, producir, contrato
periodo, producir, acuerdo
periodo, considerar, trabajo
periodo, considerar, trabajo efectivo
periodo, disponer, ausencia
periodo, disponer, duración
periodo, disponer, ausencia
periodo, disponer, ausencia
periodo, fijar, empresario
periodo, entrar, empresario
periodo, fijar, acuerdo
periodo, negociar, buena fe
periodo, entender, derecho
periodo, entender, perjuicio
periodo, referir, aplicación
periodo, referir, procedimiento
periodo, optar, trabajo
periodo, entrar, trabajo
periodo, negociar, buena fe
periodo, finalizar, concurrir
periodo, presumir, concurrir
periodo, finalizar, acuerdo
periodo, negociar, buena fe
periodo, constituir, derecho
periodo, permanecer, excedencia
periodo, permanecer, excedencia
periodo, quedar, procedimiento
periodo, finalizar, concurrir
periodo, presumir, concurrir
periodo, finalizar, acuerdo
periodo, negociar, buena fe
periodo, notificar, autoridad laboral
periodo, notificar, autoridad
periodo, dirigir, empresario
periodo, quedar, procedimiento
periodo, negociar, buena fe
periodo, comunicar, autoridad laboral
periodo, comunicar, autoridad
periodo, incluir, formación
periodo, tratar, persona
periodo, finalizar, concurrir
periodo, presumir, concurrir
periodo, finalizar, acuerdo
periodo, finalizar, acuerdo
periodo, contrato, trabajo
periodo, incluir, permiso
periodo, contrato, permiso
periodo, incluir, permiso
periodo, contrato, permiso
periodo, incluir, permiso
periodo, contrato, permiso
reclamación, efectuar, acción administrativa
unidad productiva, extinguir, relación laboral
jornada laboral, contar, voto
jornada laboral, regular, voto
jornada laboral, contar, voto
jornada laboral, regular, voto
empleo, concertar, contrato
empleo, favorecer, promoción
empleo, favorecer, promoción
empleo, verificar, cumplimiento
empleo, verificar, obligación
cargo público, imposibilitar, trabajo
acuerdo colectivo, entrar, empresa
riesgos, comportar, seguridad
despido, producir, procedimiento
despido, requerir, extinción del contrato
despido, requerir, contrato
despido, requerir, persona
despido, contrato, persona
despido, notificar, trabajador
despido, establecer, empresario
despido, considerar, procedente
despido, considerar, incumplimiento
despido, quedar, incumplimiento
despido, contrato, trabajo
despido, declarar, improcedente
despido, declarar, empresario
acuerdo, establecer, convenio colectivo
acuerdo, establecer, colectivo
acuerdo, establecer, convenio
acuerdo, establecer, jornada de trabajo
acuerdo, sustituir, jornada de trabajo
acuerdo, establecer, jornada de trabajo
acuerdo, sustituir, jornada de trabajo
acuerdo, establecer, trabajo
acuerdo, establecer, trabajo a distancia
acuerdo, establecer, contrato
acuerdo, adoptar, prevención
acuerdo, comunicar, autoridad laboral
acuerdo, comunicar, autoridad
acuerdo, comunicar, empresa
acuerdo, entrar, empresa
acuerdo, entrar, grupo profesional 
acuerdo, entrar, trabajador
acuerdo, entrar, empresario
acuerdo, entrar, trabajador
acuerdo, entrar, empresario
acuerdo, entrar, empresa
acuerdo, entrar, trabajador
acuerdo, entrar, empresa
acuerdo, entrar, empresario
acuerdo, entrar, empresa
acuerdo, entrar, empresa
acuerdo, llegar, empresa
acuerdo, entrar, empresa
acuerdo, entrar, trabajador
acuerdo, entrar, empresario
acuerdo, entrar, conformidad
acuerdo, ejercer, prestación
acuerdo, requerir, conformidad
acuerdo, alcanzar, periodo de consultas
acuerdo, alcanzar, periodo
acuerdo, requerir, conformidad
acuerdo, presumir, concurrir
acuerdo, surtir, notificación
acuerdo, presumir, concurrir
acuerdo, requerir, conformidad
acuerdo, entrar, empresa
acuerdo, entrar, persona
acuerdo, entrar, empresa
acuerdo, entrar, persona
acuerdo, requerir, conformidad
acuerdo, comunicar, empresario
acuerdo, alcanzar, periodo de consultas
acuerdo, alcanzar, periodo
acuerdo, entrar, empresa
acuerdo, reclamar, día laborable
acuerdo, reclamar, día laborable
acuerdo, señalar, autoridad laboral
acuerdo, entrar, autoridad laboral
acuerdo, señalar, autoridad
acuerdo, entrar, autoridad
acuerdo, notificar, oficina pública
acuerdo, designar, oficina pública
acuerdo, entrar, empresa
acuerdo, presumir, concurrir
acuerdo, notificar, convenio colectivo
acuerdo, notificar, comisión
acuerdo, notificar, colectivo
acuerdo, notificar, convenio
acuerdo, notificar, comisión
acuerdo, recurrir, procedimiento
acuerdo, especificar, procedimiento
convenio, contrato, función
convenio, fijar, mutuo acuerdo
convenio, entrar, empresa
convenio, entrar, empresa
convenio, entrar, empresario
convenio, entrar, empresa
convenio, entrar, empresa
convenio, finalizar, permiso
convenio, iniciar, permiso
convenio, precisar, permiso
convenio, finalizar, permiso
convenio, iniciar, permiso
convenio, precisar, permiso
convenio, finalizar, permiso
convenio, iniciar, permiso
convenio, precisar, permiso
convenio, alcanzar, periodo de consultas
convenio, alcanzar, periodo
convenio, alcanzar, periodo de consultas
convenio, alcanzar, periodo
convenio, finalizar, vigencia
convenio, finalizar, vigencia
convenio, reunir, legitimación
convenio, mantener, vigencia
convenio, mantener, vigencia
convenio, remitir, órgano
convenio, disponer, autoridad laboral
convenio, disponer, autoridad
convenio, intervenir, comisión
convenio, intervenir, comisión
convenio, establecer, régimen
convenio, establecer, salarial
jubilado, continuar, contrato
jubilado, continuar, contrato de relevo
jubilado, continuar, empresa
jubilado, cumplir, edad
jubilado, cumplir, jubilación
jubilado, cumplir, edad de jubilación
salarial, contar, salario
objeto del contrato, contrato, trabajo
objeto del contrato, continuar, prestación
objeto del contrato, contrato, prestación
objeto del contrato, contrato, denuncia
salario mínimo, afectar, cuantía
comisión, existir, trabajo
comisión, impedir, transcurso
comisión, impedir, periodo de consultas
comisión, impedir, periodo
comisión, existir, trabajo
comisión, designar, empresario
comisión, constituir, acuerdo
comisión, impedir, transcurso
comisión, impedir, periodo de consultas
comisión, impedir, periodo
comisión, existir, trabajo
comisión, impedir, transcurso
comisión, impedir, periodo de consultas
comisión, impedir, periodo
comisión, existir, trabajo
comisión, impedir, transcurso
comisión, impedir, periodo de consultas
comisión, impedir, periodo
comisión, alcanzar, acuerdo
comisión, efectuar, derecho
comisión, corresponder, mutuo acuerdo
comisión, corresponder, acuerdo
comisión, requerir, voto
función, deber, discriminación
función, deber, ausencia
función, deber, ausencia
función, deber, ausencia
función, comportar, seguridad
voto, presentar, comité
voto, efectuar, derecho
competencia profesional, contrato, aprendizaje
competencia profesional, contrato, formación
competencia profesional, contrato, aprendizaje
modificación, percibir, indemnización
modificación, contrato, indemnización
modificación, reconocer, derecho
modificación, notificar, empresario
modificación, finalizar, formación
representante legal, proceder, firma
representante legal, tratar, discapacidad
representante legal, tratar, persona
aprendizaje, referir, disposición
aprendizaje, fijar, trabajo
aprendizaje, fijar, trabajo efectivo
aprendizaje, fijar, acuerdo
aprendizaje, celebrar, discapacidad
persona, ejercer, función
persona, solicitar, jornada
persona, solicitar, jornada
persona, resolver, jurisdicción
persona, resolver, jurisdicción social
persona, resolver, procedimiento
persona, atenuar, función
persona, desempeñar, derecho
persona, formar, condición
persona, formar, familia
persona, ejercer, régimen
persona, ejercer, duración
persona, ejercer, derecho
persona, comunicar, empresa
persona, comunicar, empresa
persona, considerar, jornada
persona, considerar, jornada
persona, considerar, reducción de jornada
créditos, treinta, trabajo
créditos, treinta, cuantía
créditos, convenir, perjuicio
créditos, corresponder, información
créditos, solicitar, información
contratista, informar, empresario
contratista, informar, empresa
contratista, informar, empresa
contratista, compartir, trabajo
contratista, compartir, centro de trabajo
permiso, fijar, trabajador
permiso, entrar, trabajador
permiso, fijar, empresario
permiso, entrar, empresario
permiso, fijar, mutuo acuerdo
permiso, fijar, acuerdo
permiso, incrementar, adopción
adquisición, reconocer, derecho necesario
extensión, adoptar, tramitación
extensión, adoptar, procedimiento
extensión, promover, negociación colectiva
extensión, hallar, negociación colectiva
institucional, observar, sigilo profesional
fuerza, imposibilitar, trabajo
fuerza, imposibilitar, prestación
fuerza, reintegrar, trabajador
fuerza, acordar, indemnización
cantidad, resultar, salario
cantidad, abonar, salario
cantidad, resultar, servicio
cantidad, abonar, servicio
cantidad, percibir, despido
cantidad, percibir, despido
importe, recibir, desempleo
importe, recibir, suspensión
importe, recibir, periodo
parto, contrato, trabajo
parto, suspender, trabajo
parto, contrato, trabajo
parto, suspender, contrato
parto, suspender, contrato de trabajo
incumplimiento, reclamar, despido
incumplimiento, reclamar, jurisdicción
incumplimiento, reclamar, jurisdicción social
incumplimiento, reclamar, procedimiento
incumplimiento, reclamar, despido
vigencia, contrato, salario
vigencia, afectar, ámbito
vigencia, reunir, legitimación
vigencia, desarrollar, empresa
vigencia, aplicar, ámbito
edad de jubilación, establecer, texto refundido
edad de jubilación, corresponder, texto refundido
edad de jubilación, corresponder, texto refundido
edad de jubilación, corresponder, refundido
edad de jubilación, corresponder, texto refundido
excedencia, presentar, duración
excedencia, presentar, periodo
excedencia, ejercer, ámbito
excedencia, conservar, derecho
disposición, presentar, ley
pensión, reconocer, jubilación parcial
pensión, reconocer, trabajador
pensión, reconocer, jubilación
interés legítimo, incluir, concurrir
interés legítimo, incluir, empresa
representación de los trabajadores, entender, comisión
representación de los trabajadores, entender, comisión negociadora
representación de los trabajadores, entender, comisión
permiso, fijar, trabajador
permiso, entrar, trabajador
permiso, fijar, empresario
permiso, entrar, empresario
permiso, fijar, mutuo acuerdo
permiso, fijar, acuerdo
permiso, incrementar, adopción
salario mínimo interprofesional, afectar, cuantía
familia, adquirir, condición
denuncia, expresar, trabajador
denuncia, continuar, prestación
